Distrito,Cluster,OLT,F,S,P,Cuenta,Código QR,Capacidad,Latitud,Longitud,NOMBRE_SPLITTER,Ubicacion
COACALCO,COACALCO,COACALCO_DF,0,1,4,0141946271,TP537550,1:8,19.629784303691203,-99.09843653440475,TP537550,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0142498332,TP537550,1:8,19.629784303691203,-99.09843653440475,TP537550,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0102729666,TP537550,1:8,19.629784303691203,-99.09843653440475,TP537550,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0102515365,TP537550,1:8,19.629784303691203,-99.09843653440475,TP537550,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0135099147,TP537552,1:8,19.62888745512772,-99.09867189824581,TP537552,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0107368993,TP537552,1:8,19.62888745512772,-99.09867189824581,TP537552,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0140489381,TP537552,1:8,19.62888745512772,-99.09867189824581,TP537552,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0101189076,TP537552,1:8,19.62888745512772,-99.09867189824581,TP537552,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0106444972,TP537552,1:8,19.62888745512772,-99.09867189824581,TP537552,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0128270768,TP537552,1:8,19.62888745512772,-99.09867189824581,TP537552,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0107347812,TP537552,1:8,19.62888745512772,-99.09867189824581,TP537552,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0106318130,TP579399,1:16,19.62831113254566,-99.09883249551058,COA 516,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0102964981,TP579399,1:16,19.62831113254566,-99.09883249551058,COA 516,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0101673059,TP579399,1:16,19.62831113254566,-99.09883249551058,COA 516,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0107459271,TP579399,1:16,19.62831113254566,-99.09883249551058,COA 516,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0100469444,TP579399,1:16,19.62831113254566,-99.09883249551058,COA 516,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0107031238,TP579399,1:16,19.62831113254566,-99.09883249551058,COA 516,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0142750703,TP579399,1:16,19.62831113254566,-99.09883249551058,COA 516,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0102909053,TP579738,1:8,19.627539330737246,-99.09907825291157,TP579738,Poste
